PSE Cluster: 0.5	Resultant PSE Score: 0.56	Reference Submission: 1524425188.cs	Compared Submission: 1524536250.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.56	Reference Submission: 1524425188.cs	Compared Submission: 1524536318.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.67	Reference Submission: 1524425188.cs	Compared Submission: 1524536410.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0	Reference Submission: 1524425188.cs	Compared Submission: 1524536648.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0	Reference Submission: 1524425188.cs	Compared Submission: 1524536752.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.56	Reference Submission: 1524425188.cs	Compared Submission: 1524536808.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.56	Reference Submission: 1524425188.cs	Compared Submission: 1524537481.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.6	Reference Submission: 1524425188.cs	Compared Submission: 1524538188.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.33	Reference Submission: 1524503145.cs	Compared Submission: 1524521408.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.55	Reference Submission: 1524503145.cs	Compared Submission: 1524522547.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.5	Reference Submission: 1524503145.cs	Compared Submission: 1524529110.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.5	Reference Submission: 1524503145.cs	Compared Submission: 1524529120.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.5	Reference Submission: 1524503145.cs	Compared Submission: 1524529139.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.62	Reference Submission: 1524503145.cs	Compared Submission: 1524534168.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.2	Reference Submission: 1524503145.cs	Compared Submission: 1524535977.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.2	Reference Submission: 1524503145.cs	Compared Submission: 1524535995.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.38	Reference Submission: 1524503145.cs	Compared Submission: 1524536250.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.38	Reference Submission: 1524503145.cs	Compared Submission: 1524536318.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.3	Reference Submission: 1524503145.cs	Compared Submission: 1524536410.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.75	Reference Submission: 1524503145.cs	Compared Submission: 1524536648.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.75	Reference Submission: 1524503145.cs	Compared Submission: 1524536752.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.62	Reference Submission: 1524503145.cs	Compared Submission: 1524536808.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.38	Reference Submission: 1524503145.cs	Compared Submission: 1524537481.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524503145.cs	Compared Submission: 1524538188.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.82	Reference Submission: 1524521408.cs	Compared Submission: 1524522547.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.58	Reference Submission: 1524521408.cs	Compared Submission: 1524529110.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.58	Reference Submission: 1524521408.cs	Compared Submission: 1524529120.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.58	Reference Submission: 1524521408.cs	Compared Submission: 1524529139.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.62	Reference Submission: 1524521408.cs	Compared Submission: 1524534168.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.36	Reference Submission: 1524521408.cs	Compared Submission: 1524535977.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.36	Reference Submission: 1524521408.cs	Compared Submission: 1524535995.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.78	Reference Submission: 1524521408.cs	Compared Submission: 1524536250.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.8	Reference Submission: 1524521408.cs	Compared Submission: 1524536318.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.89	Reference Submission: 1524521408.cs	Compared Submission: 1524536410.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.62	Reference Submission: 1524521408.cs	Compared Submission: 1524536648.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.62	Reference Submission: 1524521408.cs	Compared Submission: 1524536752.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.62	Reference Submission: 1524521408.cs	Compared Submission: 1524536808.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.89	Reference Submission: 1524521408.cs	Compared Submission: 1524537481.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.73	Reference Submission: 1524521408.cs	Compared Submission: 1524538188.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524522547.cs	Compared Submission: 1524529110.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524522547.cs	Compared Submission: 1524529120.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.44	Reference Submission: 1524522547.cs	Compared Submission: 1524529139.cs	Not Matched
PSE Cluster: 0.5	Resultant PSE Score: 0.6	Reference Submission: 1524522547.cs	Compared Submission: 1524534168.cs	Not Matched
